video_id,fake,original_dataset
agrmhtjdlk.mp4,0,deepfake-detection-challenge
id60_id59_0009.mp4,1,celeb-df
id4_id0_0009.mp4,1,celeb-df
id6_id37_0001.mp4,1,celeb-df
id32_id37_0007.mp4,1,celeb-df
id23_id32_0002.mp4,1,celeb-df
id21_id23_0006.mp4,1,celeb-df
id7_id11_0009.mp4,1,celeb-df
id32_id28_0007.mp4,1,celeb-df
id25_id19_0008.mp4,1,celeb-df
id58_id52_0004.mp4,1,celeb-df
id29_id38_0001.mp4,1,celeb-df
id54_id49_0003.mp4,1,celeb-df
id49_id58_0006.mp4,1,celeb-df
id1_id16_0009.mp4,1,celeb-df
id17_id16_0001.mp4,1,celeb-df
id59_0009.mp4,0,celeb-df
id24_id26_0008.mp4,1,celeb-df
id7_id12_0002.mp4,1,celeb-df
id23_id26_0002.mp4,1,celeb-df
id26_id9_0009.mp4,1,celeb-df
id16_id9_0011.mp4,1,celeb-df
id3_id17_0001.mp4,1,celeb-df
id26_id32_0002.mp4,1,celeb-df
fakebkvetcojbt.mp4,1,deepfake-detection-challenge
id46_id45_0005.mp4,1,celeb-df
id47_id41_0009.mp4,1,celeb-df
id57_id54_0006.mp4,1,celeb-df
id20_0006.mp4,0,celeb-df
id38_0006.mp4,0,celeb-df
id56_id53_0008.mp4,1,celeb-df
id57_id51_0004.mp4,1,celeb-df
dakiztgtnw.mp4,0,deepfake-detection-challenge
id2_id28_0008.mp4,1,celeb-df
id54_id51_0003.mp4,1,celeb-df
id53_id58_0006.mp4,1,celeb-df
id17_id20_0007.mp4,1,celeb-df
id39_id42_0003.mp4,1,celeb-df
id23_id34_0009.mp4,1,celeb-df
id24_id22_0002.mp4,1,celeb-df
id38_id29_0002.mp4,1,celeb-df
ciyoudyhly.mp4,0,deepfake-detection-challenge
id47_id46_0006.mp4,1,celeb-df
id51_id55_0000.mp4,1,celeb-df
id37_id9_0001.mp4,1,celeb-df
id1_id21_0009.mp4,1,celeb-df
id4_id31_0005.mp4,1,celeb-df
id44_0002.mp4,0,celeb-df
id44_id45_0003.mp4,1,celeb-df
id49_id54_0005.mp4,1,celeb-df
